Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
1710444783.0718062,2059,1710444783,71662426,map,0.0006329641104531862,0.0019224140484666071,0.10519050657342775,0.9944500294170074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02869902622159904,0.009886470276683306,0.34323521432924775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25091644319776574,1.0883173155559385,-9.821081998874265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710444783.0883615,2060,1710444783,88164091,map,0.0007813648144535703,0.0019885231334207695,0.10691257854376222,0.9942661292601185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030249487953725503,0.01036748630179662,0.3464191126207026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.265331889880424,0.9968117628363893,-9.8228259003124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710444783.1049807,2061,1710444783,104809999,map,0.0009577945585251568,0.0020612784793416724,0.1086489936838509,0.994077577421451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035958858291589395,0.01110429984404972,0.3493804493068501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28297562059549924,0.8429741028308131,-9.827867614830613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710444783.1215296,2062,1710444783,121440649,map,0.001181017690954799,0.002154244960796871,0.11039824819319038,0.993884395300448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04569143376144388,0.014127761009576623,0.35204792632857834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2944256344780257,0.6738738855416252,-9.832554029803486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710444783.138205,2063,1710444783,138082981,map,0.0014640279877069192,0.002277931317167964,0.11216141867922294,0.9936863105682948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05824045887086424,0.018942420952191806,0.3549385743839143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30576383872520574,0.5542273493629463,-9.838327763830575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710444783.1552272,2064,1710444783,155077219,map,0.0018117688893484962,0.0024291777916174173,0.11394041218528102,0.993482963648495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07170985694909367,0.022999706838044143,0.35821994508751875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32247698905754235,0.35922991559307493,-9.840759912618664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710444783.1716125,2065,1710444783,171472311,map,0.0022212939515301564,0.002580699980832349,0.11574000438589624,0.9932737071047147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08398650091857403,0.021680658315944512,0.3624765792665825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36000516156408635,0.15852064072661784,-9.841370394537329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710444783.1883018,2066,1710444783,188186169,map,0.0026887060622629087,0.002724283052141411,0.11756981036106319,0.9930572434825831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09529452537859343,0.018804134374095196,0.36867908764721036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5850512474774257,0.05676856111251133,-9.841084478520502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710444783.204696,2067,1710444783,204558611,map,0.0031808430896913295,0.0028688437169268064,0.11942001599652347,0.9928345842849939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10022067211490025,0.018442451054065636,0.37288905233922887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.695077040018347,-0.22029459477865665,-9.84017364508579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710444783.2218235,2068,1710444783,221707582,map,0.0036509708994512443,0.0030327310106234525,0.12129668619614205,0.9926049500541206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09629243663246767,0.022821868965898207,0.378283968900088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4845084174094449,-0.6254460598363084,-9.831784291732125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
